fir_id,case_id,person_id,crime_type,location,day,description
FIR-3101,CASE_03,P01,Extortion,LOC-1,10,Record referencing possible extortion activity involving P01.
FIR-3102,CASE_03,P02,Extortion,LOC-2,13,Record referencing possible extortion activity involving P02.
FIR-3103,CASE_03,P03,Extortion,LOC-3,16,Record referencing possible extortion activity involving P03.
FIR-3104,CASE_03,P04,Extortion,LOC-4,19,Record referencing possible extortion activity involving P04.
FIR-3105,CASE_03,P05,Extortion,LOC-5,22,Record referencing possible extortion activity involving P05.
FIR-3201,CASE_03,P27,Illicit Finance,LOC-2,18,Record referencing possible illicit finance activity involving P27.
FIR-3202,CASE_03,P28,Illicit Finance,LOC-3,21,Record referencing possible illicit finance activity involving P28.
FIR-3203,CASE_03,P29,Illicit Finance,LOC-4,24,Record referencing possible illicit finance activity involving P29.
FIR-3204,CASE_03,P30,Illicit Finance,LOC-5,27,Record referencing possible illicit finance activity involving P30.
FIR-3205,CASE_03,P31,Illicit Finance,LOC-6,30,Record referencing possible illicit finance activity involving P31.
FIR-3301,CASE_03,P53,Logistics,LOC-3,26,Record referencing possible logistics activity involving P53.
FIR-3302,CASE_03,P54,Logistics,LOC-4,29,Record referencing possible logistics activity involving P54.
FIR-3303,CASE_03,P55,Logistics,LOC-5,32,Record referencing possible logistics activity involving P55.
FIR-3304,CASE_03,P56,Logistics,LOC-6,35,Record referencing possible logistics activity involving P56.
FIR-3305,CASE_03,P57,Logistics,LOC-7,38,Record referencing possible logistics activity involving P57.
