post_id,person_id,day,text
POST-3-0001,P42,55,urgent meeting
POST-3-0002,P16,51,delivery confirmed
POST-3-0003,P60,45,normal update
POST-3-0004,P19,53,urgent meeting
POST-3-0005,P61,64,route changed
POST-3-0006,P36,27,package ready
POST-3-0007,P41,13,package ready
POST-3-0008,P06,20,call me later
POST-3-0009,P61,58,urgent meeting
POST-3-0010,P01,58,package ready
POST-3-0011,P09,3,call me later
POST-3-0012,P34,65,call me later
POST-3-0013,P09,40,route changed
POST-3-0014,P73,15,urgent meeting
POST-3-0015,P70,11,delivery confirmed
POST-3-0016,P02,19,package ready
POST-3-0017,P68,66,urgent meeting
POST-3-0018,P04,22,delivery confirmed
POST-3-0019,P14,44,route changed
POST-3-0020,P66,59,meeting near location
POST-3-0021,P75,32,call me later
POST-3-0022,P22,27,meeting near location
POST-3-0023,P03,43,urgent meeting
POST-3-0024,P13,47,normal update
POST-3-0025,P02,57,route changed
POST-3-0026,P17,31,route changed
POST-3-0027,P72,32,package ready
POST-3-0028,P57,54,package ready
POST-3-0029,P76,9,route changed
POST-3-0030,P42,39,route changed
POST-3-0031,P52,35,route changed
POST-3-0032,P03,46,call me later
POST-3-0033,P10,20,call me later
POST-3-0034,P23,62,delivery confirmed
POST-3-0035,P59,14,meeting near location
POST-3-0036,P10,58,call me later
POST-3-0037,P10,17,normal update
POST-3-0038,P13,65,package ready
POST-3-0039,P70,67,urgent meeting
POST-3-0040,P03,36,route changed
POST-3-0041,P65,28,meeting near location
POST-3-0042,P16,4,urgent meeting
POST-3-0043,P25,21,normal update
POST-3-0044,P75,42,route changed
POST-3-0045,P77,11,call me later
POST-3-0046,P66,51,delivery confirmed
POST-3-0047,P07,23,call me later
POST-3-0048,P57,42,package ready
POST-3-0049,P46,23,urgent meeting
POST-3-0050,P22,64,delivery confirmed
POST-3-0051,P43,46,normal update
POST-3-0052,P72,45,meeting near location
POST-3-0053,P67,62,meeting near location
POST-3-0054,P70,35,urgent meeting
POST-3-0055,P25,45,route changed
POST-3-0056,P57,8,package ready
POST-3-0057,P13,70,meeting near location
POST-3-0058,P40,10,call me later
POST-3-0059,P61,66,route changed
POST-3-0060,P29,53,package ready
POST-3-0061,P14,27,call me later
POST-3-0062,P72,25,package ready
POST-3-0063,P29,11,delivery confirmed
POST-3-0064,P63,42,package ready
POST-3-0065,P48,32,meeting near location
POST-3-0066,P54,35,package ready
POST-3-0067,P76,33,call me later
POST-3-0068,P05,30,meeting near location
POST-3-0069,P17,47,normal update
POST-3-0070,P41,10,delivery confirmed
POST-3-0071,P31,6,route changed
POST-3-0072,P21,45,call me later
POST-3-0073,P77,34,delivery confirmed
POST-3-0074,P46,57,package ready
POST-3-0075,P33,41,call me later
POST-3-0076,P44,68,package ready
POST-3-0077,P61,19,route changed
POST-3-0078,P15,6,urgent meeting
POST-3-0079,P23,67,route changed
POST-3-0080,P38,29,normal update
POST-3-0081,P33,33,call me later
POST-3-0082,P67,35,route changed
POST-3-0083,P48,43,route changed
POST-3-0084,P63,67,delivery confirmed
POST-3-0085,P41,13,route changed
POST-3-0086,P51,11,call me later
POST-3-0087,P60,38,call me later
POST-3-0088,P13,22,delivery confirmed
POST-3-0089,P46,3,normal update
POST-3-0090,P71,33,meeting near location
POST-3-0091,P48,57,call me later
POST-3-0092,P12,15,normal update
POST-3-0093,P01,50,package ready
POST-3-0094,P30,20,normal update
POST-3-0095,P12,43,call me later
POST-3-0096,P17,14,route changed
POST-3-0097,P65,28,route changed
POST-3-0098,P21,57,call me later
POST-3-0099,P02,60,urgent meeting
POST-3-0100,P31,51,delivery confirmed
POST-3-0101,P12,38,normal update
POST-3-0102,P60,32,normal update
POST-3-0103,P36,65,urgent meeting
POST-3-0104,P14,46,normal update
POST-3-0105,P55,17,route changed
POST-3-0106,P46,18,route changed
POST-3-0107,P13,52,normal update
POST-3-0108,P15,51,call me later
POST-3-0109,P70,50,route changed
POST-3-0110,P64,16,urgent meeting
