post_id,person_id,day,text
POST-1-0001,P17,26,call me later
POST-1-0002,P03,44,urgent meeting
POST-1-0003,P45,17,delivery confirmed
POST-1-0004,P28,38,meeting near location
POST-1-0005,P15,1,normal update
POST-1-0006,P32,47,package ready
POST-1-0007,P18,40,normal update
POST-1-0008,P15,55,package ready
POST-1-0009,P20,19,package ready
POST-1-0010,P41,28,package ready
POST-1-0011,P44,70,call me later
POST-1-0012,P28,59,normal update
POST-1-0013,P45,60,route changed
POST-1-0014,P48,62,normal update
POST-1-0015,P35,3,route changed
POST-1-0016,P38,56,call me later
POST-1-0017,P32,6,normal update
POST-1-0018,P46,4,delivery confirmed
POST-1-0019,P33,45,meeting near location
POST-1-0020,P21,14,delivery confirmed
POST-1-0021,P21,1,delivery confirmed
POST-1-0022,P22,70,delivery confirmed
POST-1-0023,P34,1,delivery confirmed
POST-1-0024,P47,70,call me later
POST-1-0025,P04,15,normal update
POST-1-0026,P29,69,package ready
POST-1-0027,P27,48,call me later
POST-1-0028,P16,59,urgent meeting
POST-1-0029,P35,1,call me later
POST-1-0030,P39,15,normal update
POST-1-0031,P10,56,meeting near location
POST-1-0032,P11,64,urgent meeting
POST-1-0033,P32,14,package ready
POST-1-0034,P03,69,delivery confirmed
POST-1-0035,P22,69,delivery confirmed
POST-1-0036,P08,45,normal update
POST-1-0037,P08,23,urgent meeting
POST-1-0038,P07,68,urgent meeting
POST-1-0039,P40,27,call me later
POST-1-0040,P44,23,delivery confirmed
POST-1-0041,P09,28,package ready
POST-1-0042,P06,64,call me later
POST-1-0043,P42,14,route changed
POST-1-0044,P15,60,delivery confirmed
POST-1-0045,P09,48,urgent meeting
POST-1-0046,P44,55,normal update
POST-1-0047,P22,57,meeting near location
POST-1-0048,P35,53,delivery confirmed
POST-1-0049,P17,6,package ready
POST-1-0050,P21,52,call me later
POST-1-0051,P13,69,delivery confirmed
POST-1-0052,P46,67,call me later
POST-1-0053,P41,16,route changed
POST-1-0054,P44,38,route changed
POST-1-0055,P18,17,normal update
POST-1-0056,P33,51,delivery confirmed
POST-1-0057,P19,51,call me later
POST-1-0058,P41,22,call me later
POST-1-0059,P39,25,urgent meeting
POST-1-0060,P03,55,meeting near location
POST-1-0061,P11,35,route changed
POST-1-0062,P02,56,package ready
POST-1-0063,P15,60,delivery confirmed
POST-1-0064,P02,19,normal update
POST-1-0065,P01,51,call me later
POST-1-0066,P09,40,delivery confirmed
POST-1-0067,P08,67,package ready
POST-1-0068,P40,39,delivery confirmed
POST-1-0069,P40,60,normal update
POST-1-0070,P13,51,meeting near location
