fir_id,case_id,person_id,crime_type,location,day,description
FIR-1101,CASE_01,P01,Drug Distribution,LOC-1,10,Record referencing possible drug distribution activity involving P01.
FIR-1102,CASE_01,P02,Drug Distribution,LOC-2,13,Record referencing possible drug distribution activity involving P02.
FIR-1103,CASE_01,P03,Drug Distribution,LOC-3,16,Record referencing possible drug distribution activity involving P03.
FIR-1104,CASE_01,P04,Drug Distribution,LOC-4,19,Record referencing possible drug distribution activity involving P04.
FIR-1105,CASE_01,P05,Drug Distribution,LOC-5,22,Record referencing possible drug distribution activity involving P05.
FIR-1201,CASE_01,P17,Arms Supply,LOC-2,18,Record referencing possible arms supply activity involving P17.
FIR-1202,CASE_01,P18,Arms Supply,LOC-3,21,Record referencing possible arms supply activity involving P18.
FIR-1203,CASE_01,P19,Arms Supply,LOC-4,24,Record referencing possible arms supply activity involving P19.
FIR-1204,CASE_01,P20,Arms Supply,LOC-5,27,Record referencing possible arms supply activity involving P20.
FIR-1205,CASE_01,P21,Arms Supply,LOC-6,30,Record referencing possible arms supply activity involving P21.
FIR-1301,CASE_01,P33,Logistics,LOC-3,26,Record referencing possible logistics activity involving P33.
FIR-1302,CASE_01,P34,Logistics,LOC-4,29,Record referencing possible logistics activity involving P34.
FIR-1303,CASE_01,P35,Logistics,LOC-5,32,Record referencing possible logistics activity involving P35.
FIR-1304,CASE_01,P36,Logistics,LOC-6,35,Record referencing possible logistics activity involving P36.
FIR-1305,CASE_01,P37,Logistics,LOC-7,38,Record referencing possible logistics activity involving P37.
