transaction_id,sender,receiver,amount,day,type
TX-1-0001,P21,P47,12000,47,normal
TX-1-0002,P12,P35,4500,17,normal
TX-1-0003,P47,P10,12000,38,normal
TX-1-0004,P09,P24,12000,13,normal
TX-1-0005,P37,P07,25000,18,normal
TX-1-0006,P43,P41,25000,13,normal
TX-1-0007,P13,P40,25000,35,normal
TX-1-0008,P06,P21,120000,23,normal
TX-1-0009,P43,P32,12000,24,normal
TX-1-0010,P25,P40,8500,63,normal
TX-1-0011,P37,P20,120000,29,normal
TX-1-0012,P28,P36,4500,35,normal
TX-1-0013,P24,P32,1200,60,normal
TX-1-0014,P28,P11,12000,64,normal
TX-1-0015,P37,P12,8500,27,normal
TX-1-0016,P03,P35,75000,4,normal
TX-1-0017,P25,P17,75000,23,normal
TX-1-0018,P42,P43,75000,17,normal
TX-1-0019,P17,P28,8500,32,normal
TX-1-0020,P27,P04,4500,64,normal
TX-1-0021,P01,P46,25000,65,normal
TX-1-0022,P11,P04,75000,66,normal
TX-1-0023,P15,P33,8500,32,normal
TX-1-0024,P43,P01,8500,63,normal
TX-1-0025,P12,P45,75000,59,normal
TX-1-0026,P06,P24,120000,8,normal
TX-1-0027,P05,P47,120000,20,normal
TX-1-0028,P05,P36,120000,59,normal
TX-1-0029,P22,P48,75000,58,normal
TX-1-0030,P38,P23,120000,17,normal
TX-1-0031,P17,P08,4500,48,normal
TX-1-0032,P14,P35,1200,9,normal
TX-1-0033,P48,P17,4500,9,normal
TX-1-0034,P20,P39,1200,51,normal
TX-1-0035,P06,P38,120000,34,normal
TX-1-0036,P18,P19,25000,12,normal
TX-1-0037,P36,P17,1200,59,normal
TX-1-0038,P29,P07,12000,19,normal
TX-1-0039,P05,P25,4500,37,normal
TX-1-0040,P08,P13,8500,14,normal
TX-1-0041,P28,P30,8500,32,normal
TX-1-0042,P19,P04,1200,38,normal
TX-1-0043,P41,P08,25000,44,normal
TX-1-0044,P47,P13,12000,58,normal
TX-1-0045,P05,P33,25000,28,normal
TX-1-0046,P23,P45,4500,41,normal
