call_id,caller,receiver,day,duration_sec,type
CDR-1-0001,P04,P07,51,307,normal
CDR-1-0002,P31,P08,32,819,normal
CDR-1-0003,P16,P05,2,809,normal
CDR-1-0004,P09,P12,61,549,normal
CDR-1-0005,P09,P08,69,301,normal
CDR-1-0006,P02,P05,12,388,normal
CDR-1-0007,P10,P16,7,220,normal
CDR-1-0008,P14,P09,4,202,normal
CDR-1-0009,P09,P16,35,111,normal
CDR-1-0010,P04,P13,57,32,normal
CDR-1-0011,P12,P02,56,886,normal
CDR-1-0012,P31,P06,17,465,normal
CDR-1-0013,P13,P09,4,302,normal
CDR-1-0014,P05,P04,59,302,normal
CDR-1-0015,P11,P31,60,571,normal
CDR-1-0016,P31,P02,44,202,normal
CDR-1-0017,P07,P14,57,385,normal
CDR-1-0018,P07,P10,32,435,normal
CDR-1-0019,P04,P03,17,317,normal
CDR-1-0020,P13,P15,4,236,normal
CDR-1-0021,P31,P05,18,890,normal
CDR-1-0022,P06,P05,61,472,normal
CDR-1-0023,P02,P10,64,595,normal
CDR-1-0024,P12,P06,42,469,normal
CDR-1-0025,P03,P15,22,629,normal
CDR-1-0026,P03,P02,54,210,normal
CDR-1-0027,P01,P08,31,137,normal
CDR-1-0028,P31,P13,47,883,normal
CDR-1-0029,P01,P05,38,260,normal
CDR-1-0030,P05,P12,22,146,normal
CDR-1-0031,P16,P01,37,526,normal
CDR-1-0032,P07,P02,48,376,normal
CDR-1-0033,P07,P11,6,716,normal
CDR-1-0034,P12,P16,2,197,normal
CDR-1-0035,P12,P13,43,444,normal
CDR-1-0036,P13,P05,4,274,normal
CDR-1-0037,P31,P04,33,669,normal
CDR-1-0038,P13,P02,55,38,normal
CDR-1-0039,P04,P03,45,611,normal
CDR-1-0040,P05,P14,14,467,normal
CDR-1-0041,P16,P06,59,513,normal
CDR-1-0042,P13,P06,54,852,normal
CDR-1-0043,P13,P31,8,437,normal
CDR-1-0044,P13,P05,38,36,normal
CDR-1-0045,P05,P03,54,164,normal
CDR-1-0046,P15,P12,65,385,normal
CDR-1-0047,P03,P02,25,455,normal
CDR-1-0048,P11,P14,10,71,normal
CDR-1-0049,P09,P06,12,100,normal
CDR-1-0050,P13,P01,10,31,normal
CDR-1-0051,P09,P11,62,439,normal
CDR-1-0052,P04,P31,39,538,normal
CDR-1-0053,P07,P08,34,680,normal
CDR-1-0054,P11,P01,36,176,normal
CDR-1-0055,P15,P08,29,762,normal
