transaction_id,sender,receiver,amount,day,type
TX-2-0001,P23,P41,25000,38,normal
TX-2-0002,P36,P20,75000,22,normal
TX-2-0003,P30,P20,1200,3,normal
TX-2-0004,P58,P12,1200,52,normal
TX-2-0005,P36,P46,1200,57,normal
TX-2-0006,P54,P26,12000,34,normal
TX-2-0007,P25,P34,120000,18,normal
TX-2-0008,P18,P33,120000,43,normal
TX-2-0009,P54,P49,120000,67,normal
TX-2-0010,P40,P04,75000,25,normal
TX-2-0011,P20,P35,120000,1,normal
TX-2-0012,P42,P20,12000,60,normal
TX-2-0013,P05,P19,25000,62,normal
TX-2-0014,P54,P58,75000,3,normal
TX-2-0015,P34,P03,12000,68,normal
TX-2-0016,P42,P16,4500,33,normal
TX-2-0017,P34,P55,12000,55,normal
TX-2-0018,P62,P35,4500,4,normal
TX-2-0019,P41,P24,12000,51,normal
TX-2-0020,P59,P19,8500,25,normal
TX-2-0021,P27,P20,25000,69,normal
TX-2-0022,P08,P05,25000,54,normal
TX-2-0023,P06,P03,12000,27,normal
TX-2-0024,P22,P34,12000,39,normal
TX-2-0025,P44,P17,12000,26,normal
TX-2-0026,P10,P04,120000,29,normal
TX-2-0027,P18,P21,8500,61,normal
TX-2-0028,P22,P10,12000,63,normal
TX-2-0029,P36,P59,25000,62,normal
TX-2-0030,P20,P12,8500,70,normal
TX-2-0031,P28,P21,12000,57,normal
TX-2-0032,P51,P41,25000,45,normal
TX-2-0033,P58,P01,75000,69,normal
TX-2-0034,P45,P30,25000,20,normal
TX-2-0035,P57,P59,4500,2,normal
TX-2-0036,P31,P54,8500,52,normal
TX-2-0037,P62,P18,120000,63,normal
TX-2-0038,P51,P11,1200,13,normal
TX-2-0039,P61,P22,120000,35,normal
TX-2-0040,P53,P35,75000,7,normal
TX-2-0041,P19,P50,12000,43,normal
TX-2-0042,P25,P05,25000,17,normal
TX-2-0043,P33,P25,1200,46,normal
TX-2-0044,P46,P01,12000,10,normal
TX-2-0045,P28,P40,8500,18,normal
TX-2-0046,P26,P31,120000,61,normal
TX-2-0047,P12,P07,75000,46,normal
TX-2-0048,P34,P36,75000,46,normal
TX-2-0049,P53,P41,75000,49,normal
TX-2-0050,P59,P30,1200,21,normal
TX-2-0051,P01,P21,8500,13,normal
TX-2-0052,P02,P57,8500,28,normal
TX-2-0053,P40,P18,12000,70,normal
TX-2-0054,P41,P51,75000,15,normal
TX-2-0055,P42,P35,4500,47,normal
TX-2-0056,P50,P04,8500,2,normal
TX-2-0057,P24,P55,1200,13,normal
TX-2-0058,P53,P21,8500,64,normal
TX-2-0059,P58,P42,8500,28,normal
TX-2-0060,P43,P21,12000,26,normal
TX-2-0061,P31,P53,12000,44,normal
TX-2-0062,P16,P02,8500,28,normal
TX-2-0063,P54,P31,1200,53,normal
TX-2-0064,P22,P01,25000,47,normal
TX-2-0065,P61,P01,4500,62,normal
TX-2-0066,P16,P46,8500,31,normal
TX-2-0067,P48,P07,25000,61,normal
TX-2-0068,P23,P59,25000,19,normal
TX-2-0069,P34,P07,120000,52,normal
TX-2-0070,P17,P25,4500,29,normal
TX-2-0071,P37,P15,12000,54,normal
TX-2-0072,P43,P40,120000,15,normal
TX-2-0073,P24,P29,12000,8,normal
TX-2-0074,P40,P03,75000,60,normal
TX-2-0075,P21,P32,75000,68,normal
TX-2-0076,P07,P39,75000,47,normal
TX-2-0077,P60,P33,8500,51,normal
TX-2-0078,P34,P10,25000,45,normal
TX-2-0079,P62,P01,75000,30,normal
TX-2-0080,P06,P16,1200,54,normal
TX-2-0081,P48,P35,25000,50,normal
TX-2-0082,P50,P53,75000,33,normal
TX-2-0083,P24,P51,4500,17,normal
TX-2-0084,P52,P22,120000,14,normal
TX-2-0085,P19,P18,8500,49,normal
TX-2-0086,P48,P38,120000,28,normal
TX-2-0087,P51,P59,75000,19,normal
TX-2-0088,P17,P28,8500,68,normal
TX-2-0089,P41,P40,25000,1,normal
TX-2-0090,P41,P50,12000,9,normal
TX-2-0091,P45,P21,12000,68,normal
TX-2-0092,P17,P56,25000,68,normal
TX-2-0093,P31,P59,25000,39,normal
