call_id,caller,receiver,day,duration_sec,type
CDR-2-0001,P03,P52,64,356,normal
CDR-2-0002,P02,P05,38,663,normal
CDR-2-0003,P05,P52,49,239,normal
CDR-2-0004,P09,P06,65,96,normal
CDR-2-0005,P52,P05,14,340,normal
CDR-2-0006,P52,P04,18,21,normal
CDR-2-0007,P05,P14,24,161,normal
CDR-2-0008,P07,P05,11,60,normal
CDR-2-0009,P52,P12,70,629,normal
CDR-2-0010,P06,P10,56,768,normal
CDR-2-0011,P06,P07,37,513,normal
CDR-2-0012,P05,P09,19,369,normal
CDR-2-0013,P01,P04,59,513,normal
CDR-2-0014,P15,P09,18,567,normal
CDR-2-0015,P12,P03,38,805,normal
CDR-2-0016,P06,P13,10,533,normal
CDR-2-0017,P52,P04,30,841,normal
CDR-2-0018,P52,P09,50,592,normal
CDR-2-0019,P10,P14,17,745,normal
CDR-2-0020,P04,P08,43,418,normal
CDR-2-0021,P14,P06,59,525,normal
CDR-2-0022,P05,P13,49,131,normal
CDR-2-0023,P13,P12,66,563,normal
CDR-2-0024,P52,P09,67,435,normal
CDR-2-0025,P02,P15,42,604,normal
CDR-2-0026,P02,P14,69,670,normal
CDR-2-0027,P04,P05,25,824,normal
CDR-2-0028,P12,P02,16,721,normal
CDR-2-0029,P01,P03,31,336,normal
CDR-2-0030,P52,P11,13,489,normal
CDR-2-0031,P05,P12,68,801,normal
CDR-2-0032,P52,P02,13,599,normal
CDR-2-0033,P52,P14,21,339,normal
CDR-2-0034,P09,P10,25,644,normal
CDR-2-0035,P08,P11,17,608,normal
CDR-2-0036,P15,P03,53,62,normal
CDR-2-0037,P02,P10,32,414,normal
CDR-2-0038,P06,P13,27,528,normal
CDR-2-0039,P05,P10,70,74,normal
CDR-2-0040,P08,P01,14,711,normal
CDR-2-0041,P05,P15,59,412,normal
CDR-2-0042,P01,P09,36,304,normal
CDR-2-0043,P15,P12,48,776,normal
CDR-2-0044,P52,P15,13,278,normal
CDR-2-0045,P13,P11,42,288,normal
CDR-2-0046,P09,P01,43,402,normal
CDR-2-0047,P07,P14,1,254,normal
CDR-2-0048,P01,P14,44,581,normal
CDR-2-0049,P12,P52,25,440,normal
CDR-2-0050,P10,P13,9,294,normal
CDR-2-0051,P01,P52,24,378,normal
CDR-2-0052,P15,P02,51,546,normal
CDR-2-0053,P07,P06,60,819,normal
CDR-2-0054,P52,P15,17,141,normal
CDR-2-0055,P10,P03,46,437,normal
CDR-2-0056,P09,P01,17,204,normal
CDR-2-0057,P13,P07,37,244,normal
CDR-2-0058,P15,P52,46,407,normal
CDR-2-0059,P04,P11,41,666,normal
CDR-2-0060,P04,P02,27,689,normal
CDR-2-0061,P03,P02,15,615,normal
CDR-2-0062,P15,P02,51,472,normal
CDR-2-0063,P03,P13,57,860,normal
CDR-2-0064,P12,P08,68,280,normal
CDR-2-0065,P06,P02,31,767,normal
CDR-2-0066,P04,P08,51,488,normal
CDR-2-0067,P15,P02,17,647,normal
CDR-2-0068,P13,P11,57,609,normal
CDR-2-0069,P11,P03,12,345,normal
CDR-2-0070,P07,P01,14,355,normal
CDR-2-0071,P01,P13,55,688,normal
CDR-2-0072,P01,P06,17,723,normal
CDR-2-0073,P13,P11,24,120,normal
CDR-2-0074,P12,P02,51,310,normal
CDR-2-0075,P03,P11,38,234,normal
CDR-2-0076,P08,P05,4,419,normal
CDR-2-0077,P05,P10,33,418,normal
CDR-2-0078,P14,P01,34,271,normal
CDR-2-0079,P12,P09,49,581,normal
CDR-2-0080,P52,P02,56,130,normal
CDR-2-0081,P10,P13,10,343,normal
CDR-2-0082,P03,P02,70,217,normal
CDR-2-0083,P14,P12,37,34,normal
CDR-2-0084,P15,P14,55,118,normal
CDR-2-0085,P06,P14,8,844,normal
CDR-2-0086,P15,P05,20,645,normal
CDR-2-0087,P04,P06,66,687,normal
CDR-2-0088,P14,P52,35,265,normal
CDR-2-0089,P04,P09,15,856,normal
CDR-2-0090,P13,P12,37,109,normal
CDR-2-0091,P09,P03,58,434,normal
CDR-2-0092,P01,P08,66,183,normal
CDR-2-0093,P52,P02,36,633,normal
CDR-2-0094,P02,P15,10,353,normal
CDR-2-0095,P10,P13,15,320,normal
CDR-2-0096,P13,P03,7,550,normal
CDR-2-0097,P05,P11,20,825,normal
CDR-2-0098,P12,P52,48,26,normal
CDR-2-0099,P15,P05,41,885,normal
CDR-2-0100,P03,P06,53,383,normal
CDR-2-0101,P15,P05,26,664,normal
CDR-2-0102,P15,P10,34,673,normal
CDR-2-0103,P11,P10,10,102,normal
CDR-2-0104,P07,P05,33,480,normal
CDR-2-0105,P04,P01,65,490,normal
CDR-2-0106,P20,P18,17,548,normal
CDR-2-0107,P17,P16,36,51,normal
CDR-2-0108,P25,P19,27,387,normal
CDR-2-0109,P29,P30,32,514,normal
CDR-2-0110,P25,P23,23,408,normal
CDR-2-0111,P17,P20,63,446,normal
CDR-2-0112,P27,P28,13,158,normal
CDR-2-0113,P29,P20,53,765,normal
CDR-2-0114,P11,P20,53,863,normal
CDR-2-0115,P25,P27,6,679,normal
CDR-2-0116,P22,P23,4,394,normal
CDR-2-0117,P16,P17,28,554,normal
CDR-2-0118,P17,P29,60,58,normal
CDR-2-0119,P16,P25,11,654,normal
CDR-2-0120,P19,P22,9,487,normal
CDR-2-0121,P24,P29,18,30,normal
CDR-2-0122,P22,P27,52,781,normal
CDR-2-0123,P30,P17,18,449,normal
CDR-2-0124,P30,P29,42,217,normal
CDR-2-0125,P29,P25,50,517,normal
CDR-2-0126,P20,P24,51,417,normal
CDR-2-0127,P22,P28,35,457,normal
CDR-2-0128,P16,P26,54,308,normal
CDR-2-0129,P21,P16,50,778,normal
CDR-2-0130,P18,P11,50,367,normal
CDR-2-0131,P20,P19,13,354,normal
CDR-2-0132,P25,P29,61,833,normal
CDR-2-0133,P17,P24,59,44,normal
CDR-2-0134,P19,P17,55,646,normal
CDR-2-0135,P19,P21,68,80,normal
CDR-2-0136,P20,P17,61,817,normal
CDR-2-0137,P27,P11,63,574,normal
CDR-2-0138,P11,P23,44,241,normal
CDR-2-0139,P28,P29,31,158,normal
CDR-2-0140,P27,P25,29,351,normal
CDR-2-0141,P26,P30,40,513,normal
CDR-2-0142,P18,P21,33,94,normal
CDR-2-0143,P22,P23,62,52,normal
CDR-2-0144,P22,P18,53,491,normal
CDR-2-0145,P21,P26,25,566,normal
CDR-2-0146,P24,P27,38,746,normal
CDR-2-0147,P22,P17,66,822,normal
CDR-2-0148,P30,P26,68,638,normal
CDR-2-0149,P19,P26,68,296,normal
CDR-2-0150,P16,P27,36,264,normal
CDR-2-0151,P22,P30,40,293,normal
CDR-2-0152,P24,P20,52,69,normal
CDR-2-0153,P24,P11,46,776,normal
CDR-2-0154,P28,P24,47,525,normal
CDR-2-0155,P29,P22,22,507,normal
CDR-2-0156,P29,P23,62,678,normal
CDR-2-0157,P27,P21,21,878,normal
CDR-2-0158,P23,P28,1,862,normal
CDR-2-0159,P27,P24,53,78,normal
CDR-2-0160,P23,P20,64,483,normal
CDR-2-0161,P29,P30,15,886,normal
CDR-2-0162,P22,P30,61,245,normal
CDR-2-0163,P28,P21,62,632,normal
CDR-2-0164,P21,P23,37,187,normal
CDR-2-0165,P29,P19,33,569,normal
CDR-2-0166,P29,P18,39,302,normal
CDR-2-0167,P21,P26,58,512,normal
CDR-2-0168,P19,P22,34,659,normal
CDR-2-0169,P29,P17,45,774,normal
CDR-2-0170,P17,P26,7,140,normal
CDR-2-0171,P17,P22,3,311,normal
CDR-2-0172,P24,P25,1,581,normal
CDR-2-0173,P17,P28,47,353,normal
CDR-2-0174,P22,P28,39,817,normal
CDR-2-0175,P21,P20,35,35,normal
CDR-2-0176,P16,P17,60,145,normal
CDR-2-0177,P18,P28,60,766,normal
CDR-2-0178,P11,P24,70,714,normal
CDR-2-0179,P26,P22,19,106,normal
CDR-2-0180,P11,P21,18,405,normal
CDR-2-0181,P24,P21,14,197,normal
CDR-2-0182,P25,P29,35,294,normal
CDR-2-0183,P23,P28,68,261,normal
CDR-2-0184,P21,P11,49,688,normal
CDR-2-0185,P25,P27,32,568,normal
CDR-2-0186,P19,P29,40,462,normal
CDR-2-0187,P22,P30,29,126,normal
CDR-2-0188,P30,P17,26,82,normal
CDR-2-0189,P26,P22,45,166,normal
CDR-2-0190,P28,P26,37,565,normal
CDR-2-0191,P28,P22,47,886,normal
CDR-2-0192,P28,P20,11,71,normal
CDR-2-0193,P18,P24,18,790,normal
CDR-2-0194,P26,P17,51,587,normal
CDR-2-0195,P22,P26,52,186,normal
CDR-2-0196,P24,P21,29,479,normal
CDR-2-0197,P22,P11,37,325,normal
CDR-2-0198,P26,P24,67,710,normal
CDR-2-0199,P26,P25,45,852,normal
CDR-2-0200,P28,P27,50,183,normal
CDR-2-0201,P18,P23,5,481,normal
CDR-2-0202,P17,P26,60,713,normal
CDR-2-0203,P16,P23,57,688,normal
CDR-2-0204,P20,P26,15,562,normal
CDR-2-0205,P30,P16,37,392,normal
CDR-2-0206,P16,P23,67,569,normal
CDR-2-0207,P21,P24,36,517,normal
CDR-2-0208,P18,P27,19,280,normal
CDR-2-0209,P21,P22,56,860,normal
CDR-2-0210,P24,P22,18,162,normal
CDR-2-0211,P28,P38,54,848,normal
CDR-2-0212,P45,P43,39,654,normal
CDR-2-0213,P43,P39,8,793,normal
CDR-2-0214,P39,P35,18,129,normal
CDR-2-0215,P32,P40,33,540,normal
CDR-2-0216,P32,P39,19,97,normal
CDR-2-0217,P32,P39,45,546,normal
CDR-2-0218,P44,P33,61,418,normal
CDR-2-0219,P44,P41,33,608,normal
CDR-2-0220,P34,P41,62,224,normal
CDR-2-0221,P32,P36,57,572,normal
CDR-2-0222,P35,P36,31,235,normal
CDR-2-0223,P35,P39,67,558,normal
CDR-2-0224,P35,P41,59,692,normal
CDR-2-0225,P37,P45,59,397,normal
CDR-2-0226,P45,P31,41,644,normal
CDR-2-0227,P38,P36,64,528,normal
CDR-2-0228,P42,P40,57,353,normal
CDR-2-0229,P35,P32,70,630,normal
CDR-2-0230,P38,P39,63,359,normal
CDR-2-0231,P31,P28,14,564,normal
CDR-2-0232,P33,P37,21,117,normal
CDR-2-0233,P44,P35,46,260,normal
CDR-2-0234,P33,P37,64,74,normal
CDR-2-0235,P34,P43,59,166,normal
CDR-2-0236,P45,P39,52,356,normal
CDR-2-0237,P37,P34,11,816,normal
CDR-2-0238,P35,P38,24,371,normal
CDR-2-0239,P32,P41,42,411,normal
CDR-2-0240,P43,P38,32,181,normal
CDR-2-0241,P32,P42,8,346,normal
CDR-2-0242,P43,P42,25,703,normal
CDR-2-0243,P36,P41,31,215,normal
CDR-2-0244,P38,P40,48,812,normal
CDR-2-0245,P28,P40,42,710,normal
CDR-2-0246,P40,P45,10,835,normal
CDR-2-0247,P36,P42,38,541,normal
CDR-2-0248,P35,P34,18,535,normal
CDR-2-0249,P37,P38,42,189,normal
CDR-2-0250,P37,P43,32,793,normal
CDR-2-0251,P43,P44,62,566,normal
CDR-2-0252,P36,P45,11,254,normal
CDR-2-0253,P39,P32,8,170,normal
CDR-2-0254,P44,P45,30,460,normal
CDR-2-0255,P36,P42,21,26,normal
CDR-2-0256,P39,P42,39,85,normal
CDR-2-0257,P44,P32,54,213,normal
CDR-2-0258,P35,P31,66,361,normal
CDR-2-0259,P40,P32,21,809,normal
CDR-2-0260,P43,P31,30,417,normal
CDR-2-0261,P31,P32,38,534,normal
CDR-2-0262,P40,P41,49,459,normal
CDR-2-0263,P40,P43,39,227,normal
CDR-2-0264,P38,P43,52,254,normal
CDR-2-0265,P31,P33,39,412,normal
CDR-2-0266,P34,P44,27,201,normal
CDR-2-0267,P31,P37,12,445,normal
CDR-2-0268,P32,P28,40,490,normal
CDR-2-0269,P39,P44,35,857,normal
CDR-2-0270,P35,P31,9,216,normal
CDR-2-0271,P31,P39,47,749,normal
CDR-2-0272,P34,P37,33,595,normal
CDR-2-0273,P34,P38,49,206,normal
CDR-2-0274,P35,P42,25,247,normal
CDR-2-0275,P39,P31,33,284,normal
CDR-2-0276,P37,P40,16,111,normal
CDR-2-0277,P38,P36,70,539,normal
CDR-2-0278,P35,P33,35,324,normal
CDR-2-0279,P35,P45,47,628,normal
CDR-2-0280,P42,P35,38,116,normal
CDR-2-0281,P38,P42,4,256,normal
CDR-2-0282,P42,P38,36,600,normal
CDR-2-0283,P28,P43,29,589,normal
CDR-2-0284,P44,P34,42,610,normal
CDR-2-0285,P45,P36,41,863,normal
CDR-2-0286,P44,P38,34,405,normal
CDR-2-0287,P42,P38,67,45,normal
CDR-2-0288,P42,P39,42,139,normal
CDR-2-0289,P35,P42,1,146,normal
CDR-2-0290,P33,P37,20,876,normal
CDR-2-0291,P42,P39,25,133,normal
